user,click_1,click_2,click_3,click_4,click_5,conversion,value
117,b,d,d,,,0,0
118,b,b,,,,1,50
119,a,b,d,c,a,1,37
120,a,b,d,,,1,38
121,b,a,c,,,1,38
122,a,b,,,,1,32
123,a,d,,,,0,0
124,b,a,c,,,1,39
125,c,c,a,c,c,0,0
126,b,c,,,,0,0
127,a,,,,,1,33
128,b,b,d,d,,0,0
129,d,a,c,,,1,39
130,c,,,,,0,0
131,b,a,b,,,0,0
132,b,c,b,,,0,0
133,d,c,a,b,,1,34
134,c,b,,,,0,0
135,a,b,d,a,,1,47
136,a,d,,,,0,0
137,a,b,a,,,0,0
138,a,b,c,,,0,0
139,d,b,d,b,,0,0
140,d,a,c,a,,0,0
141,c,,,,,0,0
142,c,c,a,c,,1,45
143,d,b,,,,0,0
144,d,d,b,d,,0,0
145,a,c,d,,,0,0
146,d,c,a,b,,0,0
147,b,d,,,,0,0
148,c,b,a,a,b,0,0
149,d,c,a,c,d,0,0
150,d,b,,,,0,0
151,c,b,a,a,a,0,0
152,a,d,b,,,0,0
153,d,b,a,b,,1,46
154,a,b,d,c,,0,0
155,b,,,,,0,0
156,d,c,b,c,,0,0
157,b,c,a,,,0,0
158,d,a,c,a,,0,0
159,b,d,c,,,0,0
160,a,b,b,b,,0,0
161,d,,,,,0,0
162,b,b,c,c,,0,0
163,a,b,,,,0,0
164,d,d,b,,,1,38
165,c,b,a,b,,0,0
166,a,,,,,0,0
167,b,,,,,1,33
168,c,a,d,a,b,0,0
169,c,c,,,,0,0
170,d,b,a,c,,0,0
171,b,a,d,,,0,0
172,a,c,c,d,a,0,0
173,a,b,c,,,0,0
174,d,c,d,b,a,1,34
175,d,b,a,,,0,0
176,b,,,,,0,0
177,d,c,c,,,0,0
178,a,a,,,,1,34
179,c,c,c,d,,0,0
180,a,a,a,d,c,1,42
181,c,,,,,0,0
182,d,b,b,,,0,0
183,a,b,c,d,c,1,45
184,d,d,b,d,c,1,39
185,c,,,,,1,46
186,b,a,d,d,d,0,0
187,c,d,c,,,0,0
188,d,c,d,d,,1,44
189,d,d,,,,0,0
190,c,b,b,b,,0,0
191,c,,,,,0,0
192,c,a,,,,0,0
193,a,a,b,b,,0,0
194,c,,,,,0,0
195,b,,,,,0,0
196,b,a,,,,0,0
197,b,b,b,,,0,0
198,b,,,,,0,0
199,b,b,,,,0,0
200,d,d,d,b,,0,0
201,c,b,a,,,1,35
202,c,a,b,b,,0,0
203,c,,,,,0,0
204,d,d,a,d,a,1,43
205,b,d,c,,,0,0
206,a,d,b,d,,1,39
207,c,b,d,d,c,0,0
208,d,d,b,,,0,0
209,a,b,c,,,0,0
210,c,,,,,0,0
211,c,,,,,0,0
212,b,c,c,d,d,0,0
213,a,b,,,,1,50
214,d,,,,,0,0
215,d,c,d,,,1,30
216,a,b,b,,,0,0
217,b,c,a,b,c,1,48
218,a,,,,,0,0
219,b,a,d,,,1,44
220,d,b,,,,0,0
221,c,a,,,,0,0
222,b,d,d,,,0,0
223,c,d,c,d,b,0,0
224,b,d,b,,,1,43
225,d,b,a,c,d,1,43
226,d,,,,,0,0
227,b,d,,,,0,0
228,d,a,b,c,c,0,0
229,b,c,,,,0,0
230,a,c,b,b,,0,0
231,b,c,d,b,,1,48
232,b,b,,,,0,0
233,d,d,b,a,,1,50
234,d,,,,,0,0
235,c,a,a,c,,1,35
236,b,d,b,c,,1,45
237,b,c,d,a,a,0,0
238,c,a,b,a,,1,46
239,d,d,c,c,a,0,0
240,b,a,c,c,,1,30
241,b,d,c,,,0,0
242,b,a,,,,0,0
243,d,a,b,b,,0,0
244,d,d,a,c,c,0,0
245,b,d,,,,0,0
246,d,c,d,,,0,0
247,c,d,,,,0,0
248,a,,,,,0,0
249,b,a,c,c,,0,0
250,d,c,b,b,,1,43
251,a,,,,,0,0
252,c,b,b,,,1,46
253,c,c,c,a,a,0,0
254,c,d,d,,,0,0
255,a,c,d,,,0,0
256,d,d,,,,0,0
257,a,a,c,d,,0,0
258,a,b,d,a,,0,0
259,a,,,,,0,0
260,a,,,,,0,0
261,a,c,,,,0,0
262,d,c,c,d,,1,46
263,b,b,c,a,b,1,46
264,d,a,c,c,a,1,50
265,d,c,,,,0,0
266,a,d,,,,0,0
267,d,,,,,0,0
268,d,b,b,b,c,0,0
269,d,d,a,,,1,36
270,b,b,a,,,1,36
271,d,b,,,,0,0
272,d,,,,,0,0
273,d,,,,,0,0
274,d,b,,,,1,31
275,a,d,d,b,,0,0
276,b,b,c,a,a,1,38
277,b,,,,,0,0
278,a,d,d,b,b,1,50
279,d,d,b,c,b,0,0
280,d,d,,,,0,0
281,b,b,a,b,,0,0
282,b,,,,,0,0
283,c,,,,,0,0
284,a,c,,,,1,31
285,a,a,b,c,b,1,40
286,d,d,,,,0,0
287,c,b,d,,,0,0
288,d,,,,,0,0
289,c,a,b,,,0,0
290,b,d,a,d,,1,31
291,d,d,b,,,0,0
292,b,d,c,,,0,0
293,a,b,,,,0,0
294,b,b,,,,0,0
295,a,,,,,0,0
296,d,d,,,,1,36
297,d,b,c,b,,1,35
298,d,c,,,,0,0
299,b,b,b,a,,0,0
300,a,a,a,a,,1,44
301,b,d,,,,0,0
302,b,c,a,b,,0,0
303,b,d,b,,,0,0
304,d,d,c,a,d,0,0
305,a,c,a,d,d,0,0
306,d,d,d,,,1,50
307,d,b,c,,,0,0
308,c,d,,,,1,49
309,a,c,a,b,,0,0
310,a,c,a,b,d,0,0
311,d,,,,,0,0
312,c,d,d,,,0,0
313,a,b,c,b,a,0,0
314,a,,,,,0,0
315,b,,,,,0,0
316,a,a,d,b,d,1,32
317,a,c,d,,,0,0
318,c,b,c,c,,0,0
319,d,b,d,a,,1,37
320,c,a,,,,0,0
321,a,c,d,a,,0,0
322,a,,,,,0,0
323,b,b,a,,,0,0
324,b,a,b,,,0,0
325,c,c,c,,,0,0
326,b,a,a,,,0,0
327,a,a,a,b,,1,41
328,a,c,a,d,a,1,31
329,d,b,d,a,d,0,0
330,b,,,,,0,0
331,a,d,,,,0,0
332,c,,,,,1,43
333,c,a,a,c,,0,0
334,d,a,a,,,1,39
335,d,d,b,b,b,0,0
336,a,d,c,c,c,0,0
337,b,,,,,1,48
338,d,a,c,c,,0,0
339,c,b,b,a,b,0,0
340,c,b,,,,0,0
341,c,c,,,,0,0
342,d,,,,,1,30
343,c,b,d,c,c,0,0
344,b,c,d,a,b,0,0
345,b,a,c,c,,0,0
346,b,c,d,a,d,0,0
347,d,,,,,0,0
348,d,,,,,0,0
349,b,c,c,c,d,1,39
350,d,d,c,b,,0,0
351,a,,,,,0,0
352,a,,,,,1,35
353,b,a,b,d,,0,0
354,c,c,c,c,,0,0
355,b,c,b,,,0,0
356,b,,,,,0,0
357,b,,,,,0,0
358,d,d,c,c,d,1,31
359,c,b,a,,,0,0
360,a,c,a,a,,0,0
361,a,d,d,,,0,0
362,c,c,a,,,1,34
363,c,c,a,c,a,1,30
364,d,,,,,0,0
365,c,a,a,a,,1,30
366,b,d,d,,,0,0
367,c,b,b,,,0,0
368,b,d,b,,,1,45
369,a,b,c,c,,0,0
370,b,c,c,b,,0,0
371,c,b,d,,,0,0
372,c,d,c,b,b,0,0
373,a,,,,,0,0
374,b,,,,,0,0
375,a,c,a,b,b,1,38
376,c,a,,,,0,0
377,b,a,c,d,d,0,0
378,a,,,,,0,0
379,d,,,,,0,0
380,c,,,,,0,0
381,b,d,d,c,,0,0
382,b,,,,,0,0
383,b,b,b,c,,1,48
384,a,,,,,0,0
385,a,c,b,c,,1,45
386,a,,,,,0,0
387,a,a,a,,,0,0
388,d,c,,,,1,31
389,a,a,a,c,d,0,0
390,a,c,,,,0,0
391,b,d,c,,,0,0
392,a,c,b,,,1,49
393,d,c,a,b,,0,0
394,d,c,a,b,b,0,0
395,a,b,a,b,,0,0
396,b,c,c,c,b,0,0
397,d,c,,,,0,0
398,b,b,d,b,,0,0
399,c,c,b,,,0,0
400,a,a,,,,0,0
401,b,b,d,,,0,0
402,d,c,b,b,c,0,0
403,c,,,,,0,0
404,d,a,c,a,,0,0
405,d,,,,,0,0
406,a,d,,,,0,0
407,b,b,b,,,0,0
408,b,c,a,,,0,0
409,a,d,b,c,,0,0
410,a,,,,,0,0
411,a,,,,,0,0
412,c,a,,,,0,0
413,c,a,c,c,d,0,0
414,d,d,,,,0,0
415,c,a,c,d,a,1,31
416,c,c,a,,,1,36
417,c,a,a,d,,1,32
418,b,d,,,,0,0
419,b,d,b,,,0,0
420,b,,,,,0,0
421,c,c,d,,,1,40
422,b,c,b,,,0,0
423,d,,,,,0,0
424,c,c,d,a,b,0,0
425,a,b,d,b,d,1,50
426,a,d,b,,,0,0
427,b,d,c,c,b,0,0
428,b,a,,,,0,0
429,c,,,,,1,30
430,c,b,b,,,0,0
431,b,b,,,,0,0
432,a,,,,,0,0
433,b,b,,,,0,0
434,a,a,,,,0,0
435,a,d,c,c,,0,0
436,a,b,,,,0,0
437,a,d,,,,0,0
438,d,d,,,,1,50
439,d,c,,,,0,0
440,a,d,c,b,b,0,0
441,a,b,b,c,,1,40
442,b,c,,,,0,0
443,c,c,,,,0,0
444,d,,,,,0,0
445,a,a,d,,,0,0
446,a,c,c,,,0,0
447,d,c,c,c,,0,0
448,d,,,,,0,0
449,a,d,,,,0,0
450,a,a,c,d,d,0,0
451,c,a,b,,,0,0
452,c,d,c,,,0,0
453,d,a,b,,,0,0
454,c,b,d,d,b,1,36
455,a,c,a,,,0,0
456,a,a,d,,,0,0
457,b,a,b,,,0,0
458,d,,,,,0,0
459,c,d,c,c,,0,0
460,c,c,d,d,a,1,43
461,b,a,a,,,0,0
462,d,a,,,,0,0
463,c,d,c,,,0,0
464,b,d,,,,0,0
465,c,c,d,,,0,0
466,b,a,a,,,1,36
467,c,d,a,,,0,0
468,a,c,,,,0,0
469,d,d,,,,0,0
470,b,d,c,,,0,0
471,b,,,,,0,0
472,c,c,,,,0,0
473,a,b,a,d,b,0,0
474,c,b,d,b,,1,44
475,c,c,c,a,b,1,37
476,a,c,b,d,c,0,0
477,d,b,c,,,0,0
478,c,b,d,,,1,36
479,b,,,,,0,0
480,d,d,a,d,a,1,47
481,d,a,b,,,0,0
482,a,d,d,a,d,1,39
483,d,a,a,c,b,1,35
484,d,,,,,0,0
485,a,d,c,b,,0,0
486,d,a,c,c,,0,0
487,a,b,a,a,,0,0
488,c,b,a,b,,1,32
489,c,a,b,b,,1,31
490,c,c,,,,0,0
491,d,a,d,c,,0,0
492,b,a,c,b,,1,31
493,d,b,b,a,,0,0
494,c,a,a,b,b,1,49
495,a,,,,,0,0
496,d,,,,,0,0
497,b,b,c,a,c,1,45
498,c,d,b,a,,0,0
499,a,a,c,c,,0,0
500,b,d,d,,,1,41
501,a,d,c,c,d,1,50
502,d,d,b,c,c,1,30
503,b,d,c,d,c,0,0
504,c,,,,,0,0
505,d,d,a,,,0,0
506,c,,,,,0,0
507,b,b,d,,,1,49
508,c,c,,,,1,33
509,c,b,c,b,,0,0
510,a,a,,,,0,0
511,d,c,b,,,0,0
512,c,c,d,d,,1,30
513,b,c,a,a,d,0,0
514,a,d,a,,,0,0
515,c,,,,,0,0
516,d,a,a,,,0,0
517,d,b,a,,,0,0
518,c,a,d,c,,0,0
519,c,a,,,,0,0
520,b,c,b,c,c,0,0
521,c,,,,,1,38
522,c,c,,,,0,0
523,b,d,b,a,b,1,40
524,c,,,,,0,0
525,b,c,b,c,,0,0
526,d,,,,,0,0
527,c,a,c,d,a,0,0
528,b,d,c,,,0,0
529,b,c,c,c,,1,47
530,c,c,c,d,b,0,0
531,d,a,,,,0,0
532,d,a,c,,,0,0
533,b,c,,,,0,0
534,b,a,a,d,d,0,0
535,b,,,,,0,0
536,a,,,,,0,0
537,c,b,a,,,0,0
538,b,,,,,0,0
539,b,,,,,0,0
540,c,d,,,,0,0
541,c,b,,,,1,32
542,c,b,,,,0,0
543,c,d,c,d,a,1,47
544,b,,,,,0,0
545,a,d,a,a,b,0,0
546,c,a,b,,,0,0
547,b,a,a,a,a,1,49
548,c,c,,,,0,0
549,a,a,a,c,,1,35
550,c,,,,,0,0
551,d,,,,,0,0
552,c,d,b,c,b,0,0
553,b,d,c,c,d,1,44
554,a,,,,,0,0
555,b,a,d,a,,1,37
556,d,a,c,d,c,0,0
557,d,c,d,,,0,0
558,d,b,c,d,,0,0
559,c,a,,,,1,42
560,d,c,d,,,0,0
561,a,d,d,d,a,0,0
562,d,d,d,b,d,1,40
563,b,d,c,a,,1,31
564,b,d,a,,,0,0
565,a,d,a,d,,0,0
566,d,c,d,,,0,0
567,c,,,,,0,0
568,a,b,d,,,1,47
569,c,,,,,1,45
570,b,c,d,a,b,0,0
571,d,c,a,d,,0,0
572,a,,,,,0,0
573,a,c,c,a,,0,0
574,a,a,c,d,,0,0
575,d,,,,,1,41
576,c,a,,,,0,0
577,c,c,b,a,d,1,49
578,a,b,d,a,,0,0
579,c,,,,,0,0
580,d,c,,,,0,0
581,c,d,c,,,0,0
582,b,d,,,,0,0
583,a,b,d,c,,0,0
584,d,b,b,d,a,0,0
585,d,,,,,0,0
586,a,c,d,a,,0,0
587,b,c,d,b,c,0,0
588,b,,,,,0,0
589,d,c,,,,0,0
590,c,a,,,,0,0
591,a,b,d,,,0,0
592,c,b,b,d,,0,0
593,a,a,d,,,0,0
594,d,a,c,,,0,0
595,d,d,,,,0,0
596,c,a,a,b,,1,43
597,c,,,,,0,0
598,b,c,a,,,0,0
599,b,b,d,b,,0,0
600,c,b,c,,,0,0
601,d,d,a,c,b,1,48
602,a,,,,,0,0
603,b,d,d,b,,0,0
604,a,a,a,b,,0,0
605,a,a,c,a,,1,41
606,b,d,b,c,c,0,0
607,b,a,,,,0,0
608,d,,,,,0,0
609,a,a,c,b,,0,0
610,d,,,,,0,0
611,b,b,a,c,,1,38
612,d,,,,,0,0
613,c,c,c,a,a,0,0
614,b,c,,,,0,0
615,d,a,a,,,0,0
616,a,b,a,c,,0,0
617,c,d,a,b,b,0,0
618,b,,,,,1,47
619,a,b,a,,,0,0
620,a,b,a,b,,0,0
621,c,c,d,,,0,0
622,d,,,,,0,0
623,d,d,c,a,c,1,49
624,d,b,c,a,,0,0
625,d,b,c,b,,1,31
626,d,b,d,,,0,0
627,b,d,a,,,0,0
628,d,c,b,b,,0,0
629,d,a,d,,,0,0
630,c,d,a,a,,0,0
631,d,c,c,b,,0,0
632,b,,,,,0,0
633,d,b,a,b,d,0,0
634,a,,,,,0,0
635,d,a,a,a,,0,0
636,a,a,,,,0,0
637,a,,,,,1,42
638,a,b,a,d,,0,0
639,a,a,b,,,0,0
640,b,b,a,,,0,0
641,a,d,c,c,b,0,0
642,b,a,d,c,,1,30
643,d,a,d,c,,1,50
644,b,c,b,b,,0,0
645,d,,,,,0,0
646,a,d,a,,,1,47
647,c,,,,,0,0
648,a,a,,,,0,0
649,d,a,c,d,,0,0
650,b,,,,,0,0
651,c,c,c,,,0,0
652,b,b,,,,0,0
653,a,d,,,,0,0
654,c,b,d,b,,0,0
655,a,d,,,,1,44
656,a,c,d,b,,1,36
657,d,b,,,,0,0
658,b,b,,,,1,47
659,b,c,c,a,,0,0
660,c,c,d,c,a,0,0
661,c,,,,,0,0
662,b,d,a,a,,1,50
663,b,a,b,c,,1,45
664,b,d,a,b,d,1,46
665,a,a,b,,,0,0
666,d,,,,,0,0
667,b,c,a,a,,0,0
668,d,c,d,a,d,0,0
669,c,d,a,,,0,0
670,a,,,,,0,0
671,c,c,c,a,,0,0
672,d,b,c,,,0,0
673,d,a,d,a,,1,50
674,c,d,,,,0,0
675,a,c,c,,,0,0
676,d,c,,,,0,0
677,a,c,a,,,0,0
678,c,d,d,,,0,0
679,b,,,,,0,0
680,c,,,,,0,0
681,d,d,c,d,d,0,0
682,a,,,,,0,0
683,a,b,c,,,0,0
684,c,d,a,d,,0,0
685,b,d,b,a,,1,45
686,b,b,a,,,0,0
687,b,a,d,d,,1,32
688,b,c,,,,0,0
689,c,c,d,b,,0,0
690,d,c,b,,,1,34
691,d,a,b,d,d,1,32
692,a,a,d,b,d,0,0
693,d,d,d,a,b,0,0
694,b,a,b,b,,0,0
695,b,d,d,,,0,0
696,b,c,c,c,,1,32
697,c,d,,,,0,0
698,a,c,d,,,0,0
699,d,,,,,0,0
700,d,a,b,a,,0,0
701,a,a,b,a,,0,0
702,c,c,c,b,,0,0
703,d,,,,,0,0
704,c,d,c,,,0,0
705,d,a,c,,,0,0
706,a,c,d,,,0,0
707,b,d,c,,,1,32
708,d,d,a,b,a,1,46
709,a,a,b,,,1,38
710,d,a,c,c,b,1,33
711,d,,,,,1,41
712,c,a,c,c,d,0,0
713,c,d,,,,0,0
714,c,c,b,d,,0,0
715,d,,,,,0,0
716,b,d,c,,,0,0
717,a,a,b,b,a,1,47
718,a,a,b,,,0,0
719,c,a,a,b,b,0,0
720,d,a,a,b,b,0,0
721,d,b,,,,0,0
722,c,,,,,0,0
723,d,b,a,c,d,1,47
724,a,,,,,0,0
725,c,a,,,,0,0
726,b,b,a,d,,0,0
727,c,c,,,,0,0
728,b,a,,,,0,0
729,b,b,,,,0,0
730,a,,,,,0,0
731,d,c,,,,0,0
732,c,b,c,d,,0,0
733,a,,,,,0,0
734,c,c,a,a,c,1,33
735,a,a,c,,,0,0
736,c,a,c,d,,0,0
737,c,,,,,1,37
738,c,a,c,d,c,0,0
739,a,c,d,b,,0,0
740,c,b,d,,,0,0
741,b,a,c,,,0,0
742,c,d,a,b,,0,0
743,a,d,,,,0,0
744,b,,,,,0,0
745,a,b,b,b,,1,41
746,c,a,b,,,0,0
747,c,a,b,,,0,0
748,c,a,,,,1,47
749,a,,,,,0,0
750,d,b,b,d,,0,0
751,d,,,,,0,0
752,d,c,a,,,1,46
753,b,d,,,,0,0
754,a,c,,,,0,0
755,a,c,c,,,0,0
756,a,d,,,,0,0
757,b,c,,,,0,0
758,c,c,b,,,1,40
759,d,b,c,b,a,1,50
760,c,b,a,,,1,44
761,b,,,,,0,0
762,c,c,c,d,,0,0
763,c,,,,,0,0
764,c,d,d,,,0,0
765,d,d,b,c,,0,0
766,c,,,,,0,0
767,d,,,,,0,0
768,a,d,d,b,,0,0
769,d,a,d,d,a,0,0
770,c,c,,,,0,0
771,b,c,a,,,1,30
772,b,a,d,b,,0,0
773,b,d,,,,0,0
774,c,b,,,,0,0
775,b,c,d,b,,0,0
776,d,d,a,a,,0,0
777,d,c,a,,,0,0
778,b,a,b,b,,1,39
779,c,b,c,c,a,0,0
780,c,d,d,c,c,0,0
781,c,d,c,,,0,0
782,d,,,,,0,0
783,b,c,d,a,b,1,37
784,d,,,,,0,0
785,d,d,b,,,0,0
786,d,c,d,c,,0,0
787,b,,,,,0,0
788,c,c,d,c,,0,0
789,c,b,c,,,0,0
790,d,d,,,,0,0
791,b,b,,,,0,0
792,c,,,,,0,0
793,a,,,,,0,0
794,a,a,a,d,,1,44
795,c,a,a,,,0,0
796,a,c,,,,1,35
797,d,c,c,b,,0,0
798,c,d,c,a,,1,43
799,a,b,a,c,,0,0
800,b,b,c,,,0,0
801,b,a,a,c,d,1,50
802,d,a,b,d,d,0,0
803,d,d,,,,0,0
804,a,a,b,,,1,50
805,a,d,,,,0,0
806,b,b,c,d,,0,0
807,a,c,c,b,,0,0
808,b,,,,,0,0
809,c,a,,,,0,0
810,c,b,,,,0,0
811,b,b,c,,,0,0
812,b,a,b,d,d,0,0
813,a,,,,,0,0
814,b,d,c,c,,1,48
815,b,d,b,c,,1,37
816,c,d,,,,0,0
817,c,,,,,0,0
818,b,b,d,,,0,0
819,a,b,b,,,0,0
820,d,,,,,0,0
821,a,a,c,a,,1,46
822,a,c,c,d,,1,31
823,b,,,,,0,0
824,d,c,d,,,1,48
825,c,d,d,d,b,0,0
826,d,b,a,,,0,0
827,b,b,b,b,c,1,46
828,c,,,,,0,0
829,a,d,b,,,1,31
830,a,d,a,c,a,1,49
831,a,a,c,a,b,0,0
832,c,a,d,,,0,0
833,b,c,d,d,,0,0
834,a,d,b,,,0,0
835,d,c,,,,0,0
836,d,a,,,,0,0
837,b,,,,,0,0
838,b,a,a,,,0,0
839,c,b,c,d,,0,0
840,a,,,,,0,0
841,d,d,d,,,0,0
842,d,c,a,,,0,0
843,b,,,,,0,0
844,d,a,a,b,,0,0
845,b,d,a,d,a,1,33
846,b,,,,,0,0
847,c,b,d,a,,0,0
848,b,,,,,1,47
849,c,c,,,,0,0
850,c,c,a,c,d,1,47
851,a,b,a,b,,1,37
852,b,,,,,0,0
853,a,b,b,b,a,0,0
854,a,,,,,0,0
855,d,d,d,,,0,0
856,a,,,,,0,0
857,c,b,b,b,c,0,0
858,c,a,d,b,c,1,42
859,b,b,a,d,d,0,0
860,d,c,,,,0,0
861,d,a,d,d,,0,0
862,c,b,,,,0,0
863,b,,,,,0,0
864,a,b,d,,,0,0
865,c,a,d,,,1,41
866,a,b,a,,,0,0
867,b,a,c,b,,1,48
868,a,d,c,,,0,0
869,b,a,b,,,0,0
870,b,a,c,b,,0,0
871,d,a,,,,1,33
872,d,c,d,,,0,0
873,b,,,,,0,0
874,b,b,,,,0,0
875,c,d,c,b,,0,0
876,b,d,a,,,1,43
877,a,d,,,,0,0
878,d,c,a,,,0,0
879,a,a,,,,1,32
880,a,a,b,,,0,0
881,d,d,,,,0,0
882,c,c,b,,,0,0
883,a,c,a,a,,1,37
884,a,b,b,a,b,1,48
885,c,d,b,a,b,0,0
886,a,c,a,,,1,41
887,d,a,c,,,0,0
888,b,a,b,b,d,1,30
889,a,b,a,a,,0,0
890,c,c,b,d,a,0,0
891,b,a,,,,0,0
892,c,b,d,,,1,37
893,c,,,,,0,0
894,a,d,d,,,0,0
895,d,a,a,d,c,1,43
896,c,b,c,a,,1,44
897,b,,,,,0,0
898,d,,,,,0,0
899,a,d,d,d,b,1,42
900,b,d,,,,0,0
901,d,a,c,a,,0,0
902,d,a,b,b,c,0,0
903,d,d,a,b,c,1,45
904,b,,,,,0,0
905,c,a,a,b,,0,0
906,a,a,a,d,d,0,0
907,c,a,b,,,0,0
908,a,c,b,a,c,1,48
909,d,,,,,0,0
910,d,b,,,,0,0
911,a,c,a,,,1,35
912,b,d,b,a,a,0,0
913,c,c,d,,,1,41
914,b,c,b,b,,0,0
915,c,c,d,,,0,0
916,b,b,a,a,c,0,0
917,b,d,d,,,0,0
918,d,d,a,d,,1,45
919,c,c,b,,,0,0
920,c,d,a,c,b,0,0
921,a,b,,,,1,36
922,a,c,c,b,,1,36
923,b,d,b,c,d,0,0
924,b,c,a,,,0,0
925,a,,,,,0,0
926,a,,,,,0,0
927,a,,,,,0,0
928,d,,,,,0,0
929,d,a,,,,1,45
930,b,d,,,,0,0
931,d,,,,,0,0
932,c,,,,,0,0
933,b,d,c,a,d,0,0
934,c,,,,,0,0
935,d,d,c,d,,0,0
936,c,,,,,0,0
937,a,c,d,,,0,0
938,b,d,a,c,,0,0
939,d,a,b,,,1,48
940,b,c,a,,,0,0
941,c,d,c,c,c,0,0
942,d,c,d,c,,0,0
943,a,c,d,c,b,0,0
944,b,,,,,0,0
945,c,b,c,,,0,0
946,a,b,b,d,c,1,35
947,b,c,c,,,0,0
948,d,,,,,0,0
949,d,c,,,,0,0
950,b,b,a,b,,0,0
951,c,a,b,,,0,0
952,d,c,,,,0,0
953,b,,,,,0,0
954,d,,,,,0,0
955,b,c,d,c,b,0,0
956,d,a,c,c,,0,0
957,d,d,b,d,,0,0
958,a,,,,,0,0
959,a,d,d,,,0,0
960,a,d,a,,,1,47
961,c,d,a,a,,0,0
962,b,c,,,,1,46
963,b,b,c,d,d,1,35
964,a,b,,,,0,0
965,d,d,b,a,d,1,33
966,a,a,b,,,0,0
967,b,,,,,0,0
968,b,d,c,b,,0,0
969,d,d,a,c,c,1,41
970,d,b,d,c,,0,0
971,a,c,,,,1,43
972,a,,,,,1,43
973,b,c,,,,0,0
974,b,c,,,,0,0
975,c,b,a,,,0,0
976,b,b,b,a,a,0,0
977,a,c,,,,0,0
978,b,a,d,,,0,0
979,a,d,,,,0,0
980,d,a,b,a,d,0,0
981,b,a,a,a,a,0,0
982,a,b,,,,0,0
983,c,,,,,0,0
984,b,c,b,,,0,0
985,a,a,b,c,,0,0
986,b,c,,,,0,0
987,a,d,d,a,c,0,0
988,a,a,,,,0,0
989,c,c,,,,0,0
990,c,,,,,0,0
991,d,c,b,c,,0,0
992,a,c,b,c,d,0,0
993,d,b,,,,0,0
994,a,d,d,d,a,0,0
